Social Concept,Concept ID,# Artwork Matches,# Related Tags,Avg. Freq. of Related Tags,# CO Objects,# CO Actions,Top 10 Objects,Avg_Freq_Top_Objects,Top 10 Actions,Avg_Freq_Top_Actions
sacrifice , 5752 , 22 , 267 , 2.3670411985018727 , 59 , 6 , religious and ceremonial woman man wooded clothing and personal effects vessels and containers heating and lighting fire fine art and design named works fine arts and music , 4.5 , standing kneeling sitting carrying watching restraining , 2.6666666666666665
innocence , 6725 , 22 , 207 , 2.78743961352657 , 43 , 13 , man clothing and personal effects woman girl furnishings wooded man old vessels and containers bowl bird , 4.9 , kneeling sitting standing washing hands clasped feeding lying down reclining smiling carrying , 2.3
western society , 17248 , 22 , 291 , 2.5017182130584192 , 56 , 6 , man fine art and design named works reading writing printed matter furnishings miscellaneous woman couch clothing and personal effects fine arts and music agriculture gardening & fishing , 4.5 , lying down reclining standing talking washing leg/legs raised , 1.1666666666666667
charity , 2789 , 21 , 314 , 2.232484076433121 , 71 , 8 , man woman clothing and personal effects reading writing printed matter religious and ceremonial man old woman old furnishings fine arts and music child , 5.9 , standing sitting watching walking talking flying marching pointing , 2.375
patriotism , 3678 , 21 , 431 , 2.382830626450116 , 111 , 9 , woman religious and ceremonial man food and drink reading writing printed matter weapons clothing and personal effects kitchen vessels and containers flag Union Flag , 6.9 , carrying sitting smiling watching walking crouching holding hands embracing standing , 2.111111111111111
heroism , 6782 , 20 , 296 , 2.3277027027027026 , 52 , 7 , man woman clothing and personal effects fine arts and music furnishings miscellaneous rocky weapons sword figure , 4.7 , standing rescuing hands clasped reclining sleeping sitting kissing , 1.5714285714285714
punishment , 1344 , 18 , 208 , 3.423076923076923 , 53 , 8 , man male female woman reading writing printed matter newspaper 'L'Osservatore Romano' fine arts and music fire painting hill , 7.7 , kneeling pushing embracing watching scratching crouching flying death , 1.125
guilt , 1627 , 18 , 307 , 2.1661237785016287 , 64 , 17 , man woman rocky furnishings clothing and personal effects fine arts and music male cat girl fine art and design named works , 5.0 , lying down embracing head in hand/hands standing hands clasped sitting fleeing weeping running kneeling , 2.2
displacement , 4360 , 18 , 291 , 2.1030927835051547 , 57 , 13 , man woman clothing and personal effects reading writing printed matter vessels and containers basket sea coat hat umbrella , 3.8 , sitting walking legs crossed standing holding hands running waving reclining washing hands clasped , 1.2
creation , 5876 , 18 , 162 , 2.1604938271604937 , 26 , 5 , woman man fire female furnishings horse serpent star male branch , 2.0 , kneeling flying running reclining standing , 1.0
design , 18481 , 18 , 175 , 2.2285714285714286 , 40 , 7 , man fine arts and music fine art and design named works reading writing printed matter furnishings woman vessels and containers heating and lighting painting photograph , 3.8 , standing talking sitting walking playing kneeling carrying , 1.1428571428571428
shame , 1560 , 17 , 264 , 2.1666666666666665 , 47 , 11 , man woman clothing and personal effects vessels and containers bowl furnishings female reading writing printed matter male table , 5.4 , kneeling standing washing pointing sitting crouching weeping watching looking down head in hand/hands , 2.2
humility , 3847 , 17 , 243 , 2.3950617283950617 , 50 , 12 , man woman furnishings clothing and personal effects fine arts and music table vessels and containers bowl man old throne , 5.7 , kneeling standing washing sitting watching holding hands looking down talking embracing crouching , 3.1
sensuality , 4067 , 16 , 163 , 2.2024539877300615 , 24 , 5 , female woman boy clothing and personal effects cyclamen blossom leopard food and drink fruit apple lily , 2.1 , reclining crouching sleeping standing washing , 1.2
blessing , 5734 , 16 , 225 , 2.3066666666666666 , 54 , 11 , man woman reading writing printed matter clothing and personal effects religious and ceremonial book - non-specific fine arts and music furnishings table kitchen , 4.6 , kneeling sitting standing hand/hands raised head in hand/hands embracing crouching recoiling carrying talking , 2.7
soul , 5748 , 16 , 183 , 2.6830601092896176 , 31 , 7 , man woman male female star religious and ceremonial fine art and design named works child agriculture gardening & fishing food and drink , 4.8 , flying sitting walking embracing kissing watching lying down , 1.7142857142857142
wealth , 16236 , 16 , 233 , 2.356223175965665 , 61 , 6 , woman clothing and personal effects furnishings dress man jewellery fine arts and music heating and lighting religious and ceremonial glove , 6.5 , standing sitting reclining pointing lying down talking , 2.8333333333333335
salvation , 5746 , 15 , 198 , 2.5353535353535355 , 47 , 7 , man woman cloud male sea sunset sheep wooded figure agriculture gardening & fishing , 4.7 , flying weeping walking floating looking up embracing kneeling , 1.5714285714285714
enclosure , 6921 , 15 , 153 , 1.9607843137254901 , 23 , 4 , woman man furnishings clothing and personal effects female male couch cushion drapery pool , 2.1 , embracing reclining twisting floating , 1.25
pornography , 8598 , 15 , 219 , 2.3378995433789953 , 56 , 4 , woman female reading writing printed matter clothing and personal effects man food and drink magazine - non-specific swimming costume dress toys and models , 4.6 , smiling standing hand/hands raised sitting , 1.5
growth , 10522 , 15 , 108 , 2.287037037037037 , 23 , 4 , tree man woman plant trunk seed food and drink male clothing and personal effects suit , 2.0 , kneeling smiling lying down sleeping , 1.0
voyeurism , 12971 , 14 , 219 , 2.6575342465753424 , 69 , 8 , clothing and personal effects man furnishings woman fine arts and music sports and games swimming costume sea wave reading writing printed matter , 6.2 , watching sitting kneeling reclining sleeping standing carrying crouching , 2.5
